Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0131269,0.00577739,0.00239259,0.0145403,-8.13092e-12,3.48067e-12,-5.27514e-12,1.02982e-11
1,-87111,52500.1,0,101708,-0.00884246,0.00536449,0.00158451,0.0104632,-7.08526e-12,4.85448e-12,-1.2101e-12,8.67359e-12
2,-74638.7,45062.8,0,87187.1,-0.0165956,0.0101953,0.00341675,0.0197745,-8.75761e-12,5.06949e-12,-1.01602e-11,1.43396e-11
3,-112988,95412.8,0,147885,-0.0016657,0.00169011,0.000413754,0.00240878,-2.66115e-12,2.86945e-12,2.31479e-12,4.54684e-12
4,122585,-150000,0,193719,0.000611063,0,0.000309244,0.000684857,1.2047e-12,0,2.16023e-12,2.47344e-12
5,-73503.3,60039,0,94907.4,-0.01037,0.00851378,0.00220299,0.0135968,-6.76024e-12,5.80766e-12,-4.45815e-12,9.96519e-12
6,52500.7,87111.4,0,101709,0.0053604,0.00926181,0.00163458,0.0108253,4.41312e-12,7.08816e-12,-1.49146e-12,8.48186e-12
7,60041.1,73504.9,0,94910,0.00837396,0.0104262,0.00242229,0.0135903,5.47126e-12,7.29999e-12,-4.3093e-12,1.00893e-11
8,45064.1,74639.7,0,87188.6,0.0105035,0.0167609,0.00280224,0.0199776,5.13499e-12,8.73949e-12,-1.12407e-11,1.51361e-11
9,-114318,73854.6,0,136099,-0.0025072,0.00216874,0.000619531,0.00337243,-3.53704e-12,3.4632e-12,2.64993e-12,5.61485e-12
10,-93066.1,82416,0,124313,-0.00349063,0.00321338,0.00120301,0.00489464,-4.50022e-12,4.44205e-12,3.34174e-12,7.15199e-12
11,-75377.2,30343.4,0,81255.5,-0.0240016,0.00986669,0.00412121,0.0262757,-1.14476e-11,4.59514e-12,-1.78292e-11,2.16805e-11
12,-63699.6,38111.9,0,74230.4,-0.0301072,0.0169401,0.00584963,0.0350375,-1.38031e-11,7.06223e-12,-2.77307e-11,3.1771e-11
13,37449.2,-39392.6,0,54352.7,0.0765013,-0.0829393,0.0421806,0.12046,5.5068e-11,-6.12877e-11,-3.80947e-11,9.07738e-11
14,29861.7,-40130.5,0,50021.8,0.0882851,-0.120448,0.0664263,0.163446,7.0408e-11,-9.68953e-11,-1.27734e-11,1.20454e-10
15,32757.3,-33495.5,0,46850.8,0.131712,-0.135524,0.0975904,0.212694,1.12684e-10,-1.17563e-10,3.05223e-11,1.65682e-10
16,-5849.89,118265,0,118409,-0.000337313,0.00522021,0.00100335,0.00532645,-4.3458e-13,4.84646e-12,2.22808e-12,5.35176e-12
17,88672.4,19175.4,0,90722,0.0161552,0.0032742,0.00147556,0.0165496,8.42097e-12,1.60117e-12,-8.78865e-12,1.22767e-11
18,84268.6,37659.3,0,92300.7,0.0134098,0.00608836,0.00267,0.0149673,7.62639e-12,3.59613e-12,-4.74283e-12,9.67411e-12
19,75656.1,22514.3,0,78935,0.0265187,0.00838121,0.00518984,0.0282917,1.08881e-11,2.93412e-12,-2.03926e-11,2.33027e-11
20,38399.8,-133138,0,138565,0.00126676,-0.00186447,0.000812996,0.00239622,2.08684e-12,-2.44326e-12,3.32567e-12,4.62433e-12
21,30776.7,-150000,0,153125,0.000878839,0,0.000846377,0.00122013,1.49197e-12,0,3.48187e-12,3.78806e-12
22,51914.1,-150000,0,158730,0.00122169,0,0.000896145,0.00151512,2.18327e-12,0,3.64122e-12,4.2456e-12
23,-18649.6,-25892.5,0,31909.7,-0.299474,-0.420115,0.556434,0.758815,-2.71685e-10,-3.79765e-10,6.87253e-10,8.30874e-10
24,-15531.1,-22640.6,0,27455.7,-0.364835,-0.54059,0.881321,1.09639,-3.16894e-10,-4.70325e-10,1.08985e-09,1.22858e-09
25,-133938,2013.65,0,133953,-0.00216562,9.31423e-05,0.000852712,0.00232932,-2.74855e-12,1.56673e-13,3.30095e-12,4.29829e-12
26,-133854,-18281.5,0,135097,-0.00212404,-0.000696349,0.000836454,0.00238665,-2.53576e-12,-1.11104e-12,3.40308e-12,4.38697e-12
27,-118265,-5849.88,0,118409,-0.00519983,-0.000297393,0.00103125,0.00530944,-5.16106e-12,-5.20516e-13,2.45899e-12,5.74057e-12
28,-9122.73,-27956.1,0,29407,-0.176694,-0.571011,0.734856,0.947252,-1.5449e-10,-5.07907e-10,9.11432e-10,1.05477e-09
29,150000,150000,0,212132,0,0,6.80087e-05,6.80087e-05,0,0,1.4051e-12,1.4051e-12
30,129139,129210,0,182680,0.000527985,0.000519169,0.000154719,0.000756467,1.00641e-12,9.94371e-13,1.6408e-12,2.16653e-12
31,150000,122585,0,193719,0,0.000607318,0.000138493,0.000622909,0,1.18373e-12,1.65249e-12,2.03272e-12
32,-11075.8,-23798.4,0,26249.6,-0.297709,-0.62378,0.992305,1.2093,-2.58919e-10,-5.37092e-10,1.21772e-09,1.35586e-09
33,-12653.7,-19752.9,0,23458.3,-0.393517,-0.628551,1.26357,1.46511,-3.2602e-10,-5.24535e-10,1.52368e-09,1.64409e-09
34,-37648.6,84248.4,0,92278,-0.00630977,0.0137511,0.0022517,0.0152963,-4.00253e-12,7.94166e-12,-5.40545e-12,1.04072e-11
35,-46077.5,71159.7,0,84775.2,-0.011435,0.018278,0.00311618,0.0217843,-5.2774e-12,8.28273e-12,-1.27827e-11,1.61199e-11
36,85334.7,131806,0,157019,0.00137552,0.00103419,0.000410591,0.00176923,2.46847e-12,1.66817e-12,2.5012e-12,3.89001e-12
37,122585,150000,0,193719,0.000621852,0,0.000145443,0.000638634,1.21464e-12,0,1.6648e-12,2.0608e-12
38,103137,13089.1,0,103965,0.00968681,0.00119343,0.001492,0.00987343,6.87094e-12,9.04167e-13,-6.70184e-13,6.96251e-12
39,89460.7,1522.34,0,89473.6,0.0169059,0.000201538,0.00213,0.0170407,9.366e-12,-5.21506e-13,-8.76325e-12,1.2837e-11
40,-107397,-131396,0,169703,-0.00101681,-0.000694839,0.000242992,0.00125528,-1.90616e-12,-1.28634e-12,2.13061e-12,3.1349e-12
41,24422.7,-6210.7,0,25200,0.700436,-0.180891,1.09396,1.31152,5.9446e-10,-1.53362e-10,1.33442e-09,1.46887e-09
42,28356.8,-4153,0,28659.3,0.627489,-0.0930175,0.784669,1.00901,5.54539e-10,-8.30282e-11,9.71144e-10,1.1214e-09
43,27348.7,-12816.6,0,30202.9,0.520519,-0.233906,0.660452,0.872839,4.6548e-10,-2.05255e-10,8.2198e-10,9.6667e-10
