Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0126608,0.00746848,-0.0247156,0.0287565,3.98769e-11,-6.19263e-12,-1.11439e-10,1.1852e-10
1,-87111,52500.1,0,101708,-0.0131365,0.0110895,-0.00836251,0.0191174,1.84812e-11,4.65616e-13,-5.33489e-11,5.64613e-11
2,-74638.7,45062.8,0,87187.1,-0.0123056,0.00920421,-0.0428042,0.045479,5.33689e-11,-2.15701e-11,-1.73673e-10,1.82964e-10
3,-112988,95412.8,0,147885,-0.00607214,0.00719891,0.00501792,0.0106712,-4.4054e-12,8.97939e-12,7.98586e-12,1.27989e-11
4,122585,-150000,0,193719,0.0029396,0,0.00543117,0.00617567,3.47138e-12,0,9.8492e-12,1.0443e-11
5,-73503.3,60039,0,94907.4,-0.0104394,0.0117303,-0.019384,0.0249464,3.34665e-11,-1.28855e-11,-9.138e-11,9.81649e-11
6,52500.7,87111.4,0,101709,0.00843378,0.0131056,-0.00932235,0.0181601,-9.80724e-12,-1.95794e-11,-5.49149e-11,5.91201e-11
7,60041.1,73504.9,0,94910,0.0090536,0.012394,-0.0205291,0.0256325,-2.44916e-11,-2.76908e-11,-9.88371e-11,1.05524e-10
8,45064.1,74639.7,0,87188.6,0.00854111,0.0128584,-0.0480092,0.0504298,-2.68703e-11,-5.26806e-11,-1.91154e-10,2.00093e-10
9,-114318,73854.6,0,136099,-0.0079267,0.00868458,0.00603904,0.0132183,-3.85298e-12,1.03503e-11,9.03173e-12,1.4267e-11
10,-93066.1,82416,0,124313,-0.00997076,0.0109658,0.00826992,0.0169722,-3.09676e-12,1.03776e-11,1.21053e-11,1.62426e-11
11,-75377.2,30343.4,0,81255.5,-0.0178028,0.00878478,-0.0722747,0.0749516,6.27045e-11,-1.67778e-11,-2.631e-10,2.70989e-10
12,-63699.6,38111.9,0,74230.4,-0.0239115,0.0107093,-0.111166,0.114212,6.00734e-11,-4.28746e-11,-3.88313e-10,3.95265e-10
13,37449.2,-39392.6,0,54352.7,0.155364,-0.172177,-0.0981414,0.251822,1.98555e-10,-2.21515e-10,-2.54002e-10,3.91166e-10
14,29861.7,-40130.5,0,50021.8,0.199972,-0.273896,0.0173715,0.339573,2.79546e-10,-3.80045e-10,1.0748e-10,4.83872e-10
15,32757.3,-33495.5,0,46850.8,0.320099,-0.335303,0.184232,0.498831,4.63979e-10,-4.9303e-10,5.6291e-10,8.80467e-10
16,-5849.89,118265,0,118409,-0.000235243,0.00975918,0.00460327,0.0107929,3.69908e-12,-7.28915e-12,-1.29433e-12,8.27588e-12
17,88672.4,19175.4,0,90722,0.0127807,0.00187087,-0.0391423,0.0412185,-5.19505e-11,-1.39997e-11,-1.5889e-10,1.67752e-10
18,84268.6,37659.3,0,92300.7,0.0108855,0.00479035,-0.0226392,0.0255729,-4.57666e-11,-2.26275e-11,-1.05236e-10,1.16967e-10
19,75656.1,22514.3,0,78935,0.0143975,0.00413051,-0.0816313,0.0829941,-8.33962e-11,-2.28356e-11,-2.94187e-10,3.0663e-10
20,38399.8,-133138,0,138565,0.00495933,-0.00579752,0.00769212,0.010834,4.79191e-12,-3.71081e-12,1.23619e-11,1.37677e-11
21,30776.7,-150000,0,153125,0.00347365,0,0.00772293,0.00846816,3.32279e-12,0,1.1695e-11,1.21579e-11
22,51914.1,-150000,0,158730,0.00532484,0,0.00831125,0.00987071,6.02283e-12,0,1.23804e-11,1.37677e-11
23,-18649.6,-25892.5,0,31909.7,-0.730255,-1.02242,2.13806,2.4799,-8.99309e-10,-1.2567e-09,4.45571e-09,4.71607e-09
24,-15531.1,-22640.6,0,27455.7,-0.846451,-1.25676,3.2304,3.56811,-9.59452e-10,-1.42584e-09,6.19302e-09,6.42706e-09
25,-133938,2013.65,0,133953,-0.00597236,0.00103229,0.00704405,0.00929265,-9.02432e-13,4.04994e-12,8.21357e-12,9.20213e-12
26,-133854,-18281.5,0,135097,-0.00569074,-0.00207335,0.00750148,0.00964134,-1.27748e-12,6.62696e-13,1.05142e-11,1.06122e-11
27,-118265,-5849.88,0,118409,-0.0102999,-0.000589397,0.00397896,0.0110574,6.40702e-12,2.68619e-12,-6.25252e-12,9.34663e-12
28,-9122.73,-27956.1,0,29407,-0.415796,-1.35779,2.7514,3.09624,-4.93362e-10,-1.59316e-09,5.46129e-09,5.71028e-09
29,150000,150000,0,212132,0,0,0.00271848,0.00271848,0,0,3.97664e-12,3.97664e-12
30,129139,129210,0,182680,0.00245427,0.00235049,0.00323775,0.00469375,2.9149e-12,2.53917e-12,4.6886e-12,6.07676e-12
31,150000,122585,0,193719,0,0.00281676,0.00334681,0.00437438,0,3.15031e-12,4.96984e-12,5.8842e-12
32,-11075.8,-23798.4,0,26249.6,-0.691995,-1.43108,3.57125,3.90905,-7.84992e-10,-1.58147e-09,6.69308e-09,6.92204e-09
33,-12653.7,-19752.9,0,23458.3,-0.87371,-1.40263,4.38334,4.68448,-9.28363e-10,-1.49036e-09,7.84319e-09,8.03733e-09
34,-37648.6,84248.4,0,92278,-0.00575662,0.0119018,-0.0244976,0.0278374,2.17209e-11,-4.44802e-11,-1.09377e-10,1.20057e-10
35,-46077.5,71159.7,0,84775.2,-0.00529622,0.0110794,-0.0545073,0.0558736,4.62381e-11,-6.10526e-11,-2.15261e-10,2.28479e-10
36,85334.7,131806,0,157019,0.00609864,0.00390382,0.00550741,0.00909752,7.30146e-12,3.67688e-12,8.93319e-12,1.21092e-11
37,122585,150000,0,193719,0.00298401,0,0.00345786,0.0045674,3.67881e-12,0,5.32335e-12,6.47083e-12
38,103137,13089.1,0,103965,0.0123788,0.00168813,-0.00613842,0.0139199,-2.45091e-11,-2.80386e-12,-4.2367e-11,4.90257e-11
39,89460.7,1522.34,0,89473.6,0.0140794,-0.00213235,-0.0406043,0.0430289,-5.32503e-11,-7.37004e-12,-1.67959e-10,1.76353e-10
40,-107397,-131396,0,169703,-0.00461867,-0.00326124,0.0045755,0.00727344,-5.18676e-12,-4.07823e-12,7.1433e-12,9.72426e-12
41,24422.7,-6210.7,0,25200,1.58727,-0.408024,3.89009,4.22122,1.7217e-09,-4.35921e-10,7.18671e-09,7.4029e-09
42,28356.8,-4153,0,28659.3,1.48037,-0.22126,2.91768,3.27923,1.70734e-09,-2.5657e-10,5.73671e-09,5.99088e-09
43,27348.7,-12816.6,0,30202.9,1.25049,-0.547998,2.51986,2.86596,1.49837e-09,-6.30209e-10,5.1448e-09,5.39548e-09
44,23794.4,-10572.6,0,26037.6,1.43271,-0.658516,3.64979,3.97584,1.57372e-09,-7.20201e-10,6.85764e-09,7.07266e-09
45,27166.4,-8455.06,0,28451.7,1.38676,-0.414111,2.99037,3.32218,1.60138e-09,-4.68802e-10,5.84688e-09,6.08031e-09
46,20852.9,-8183.22,0,22401.1,1.5631,-0.61649,4.73119,5.02071,1.62619e-09,-6.32894e-10,8.36315e-09,8.54327e-09
47,-37897,3792.98,0,38086.3,-0.929623,0.0885336,1.01072,1.37608,-1.25447e-09,1.06178e-10,2.42925e-09,2.7361e-09
48,-131806,85334.7,0,157019,-0.0035878,0.0067397,0.00582752,0.00960499,-2.51386e-12,9.24636e-12,8.9405e-12,1.31052e-11
49,-132553,63590,0,147017,-0.00454066,0.00698795,0.00621577,0.0103964,-2.5516e-12,9.6483e-12,9.5621e-12,1.38215e-11
50,11611.3,30848.3,0,32961.2,0.42155,1.14418,1.92659,2.28005,5.14966e-10,1.42207e-09,4.11613e-09,4.3852e-09
51,9029.48,27841.7,0,29269.3,0.444322,1.3916,2.79129,3.15044,5.10345e-10,1.61401e-09,5.53268e-09,5.78584e-09
52,-117560,33651.4,0,122282,-0.0105929,0.0064417,0.00540781,0.0135258,3.4081e-13,8.05536e-12,-6.38921e-13,8.08784e-12
53,-102538,25280.1,0,105608,-0.0128362,0.00504598,-0.00792934,0.0159093,1.93083e-11,1.47667e-12,-5.29001e-11,5.6333e-11
54,-101802,43965.4,0,110890,-0.012749,0.00839988,5.29677e-05,0.0152676,9.19066e-12,4.52421e-12,-2.27882e-11,2.49848e-11
55,-22239.1,-133741,0,135578,-0.0030407,-0.00608028,0.00711838,0.00984312,-3.0633e-12,-2.1663e-12,8.60371e-12,9.38619e-12
56,-42645.3,-133291,0,139946,-0.00529276,-0.00549698,0.00783348,0.0109359,-4.82887e-12,-2.87701e-12,1.06393e-11,1.20329e-11
57,-30776.7,-150000,0,153125,-0.00405909,0,0.0080266,0.00899458,-4.37952e-12,0,1.13603e-11,1.21752e-11
58,-22464.5,15736.4,0,27427.9,-1.25077,0.865015,3.26832,3.6048,-1.41395e-09,9.49503e-10,6.34462e-09,6.56925e-09
59,-23594.5,11132.4,0,26088.9,-1.45133,0.668537,3.63004,3.96617,-1.59971e-09,6.9612e-10,6.86146e-09,7.07978e-09
60,-132362,-60437.4,0,145507,-0.00484553,-0.00662902,0.00676762,0.0106407,-4.38116e-12,-7.25799e-12,1.03502e-11,1.3379e-11
61,-150000,-73990.2,0,167256,0,-0.00649612,0.00696786,0.00952631,0,-8.30697e-12,1.03405e-11,1.32639e-11
62,-150000,-97399.6,0,178848,0,-0.00537923,0.0059212,0.00799979,0,-6.94047e-12,9.45389e-12,1.1728e-11
63,-130900,-83255.3,0,155133,-0.00366208,-0.00668552,0.00523749,0.00924869,-3.20439e-12,-8.08811e-12,7.85053e-12,1.17182e-11
64,-30850.5,11611.1,0,32963.1,-1.11414,0.417402,1.90982,2.25009,-1.39777e-09,4.9845e-10,4.13452e-09,4.39277e-09
65,-27838.8,9028.13,0,29266.1,-1.35818,0.431088,2.82122,3.16066,-1.59334e-09,4.67093e-10,5.60076e-09,5.84169e-09
66,-26908.9,13826.3,0,30253.2,-1.19571,0.634749,2.53556,2.87432,-1.42791e-09,7.35789e-10,5.19425e-09,5.43696e-09
67,-33100.8,729.915,0,33108.8,-1.20079,-0.000274119,1.89428,2.24281,-1.50177e-09,-1.88441e-11,4.05659e-09,4.32569e-09
68,-28720.7,-1365.36,0,28753.2,-1.42244,-0.0648297,2.89066,3.22234,-1.64783e-09,-8.9949e-11,5.6817e-09,5.91652e-09
69,-24939.5,1761.87,0,25001.6,-1.6141,0.125108,3.9205,4.24161,-1.74664e-09,1.11137e-10,7.22587e-09,7.43481e-09
70,-24752.6,-2855.57,0,24916.8,-1.62473,-0.176022,3.95121,4.27584,-1.75436e-09,-2.1785e-10,7.24693e-09,7.45944e-09
71,111651,-96793.4,0,147767,0.00655334,-0.00760456,0.00593876,0.0116638,6.79539e-12,-9.09132e-12,1.0507e-11,1.5467e-11
72,-27947.7,-6460.51,0,28684.7,-1.41728,-0.307216,2.87222,3.21756,-1.6376e-09,-3.65908e-10,5.67925e-09,5.92195e-09
73,-11614.3,7600.37,0,13880.1,-1.25443,0.785316,7.32416,7.47219,-1.21267e-09,7.22008e-10,1.16836e-08,1.17685e-08
74,-14428.8,7085.2,0,16074.5,-1.44446,0.700221,6.67564,6.86592,-1.40727e-09,6.45628e-10,1.08668e-08,1.09766e-08
75,-13099.7,9469.75,0,16164.1,-1.3079,0.924017,6.6658,6.85546,-1.27872e-09,8.69585e-10,1.08685e-08,1.09779e-08
76,107397,131396,0,169703,0.00467059,0.00290386,0.00505254,0.00746826,5.64221e-12,2.97029e-12,7.82356e-12,1.00928e-11
77,-8997.61,1729.25,0,9162.27,-1.08166,0.196001,8.45127,8.52246,-1.0355e-09,1.59991e-10,1.3061e-08,1.3103e-08
78,-7029.5,2564.6,0,7482.72,-0.871718,0.305772,8.78787,8.83629,-8.35806e-10,2.6703e-10,1.34857e-08,1.35142e-08
79,-10032.7,5698.88,0,11538.3,-1.14291,0.632293,7.93605,8.04281,-1.0947e-09,5.74348e-10,1.2438e-08,1.24993e-08
80,-129210,129139,0,182680,-0.00236531,0.00258032,0.00416557,0.00544102,-2.62271e-12,3.52185e-12,7.04344e-12,8.30012e-12
81,84487.8,-69969.4,0,109699,0.0133739,-0.0105267,0.00308124,0.0172964,-8.56961e-14,2.74656e-12,-5.99045e-12,6.59063e-12
82,118282,5814.86,0,118425,0.0111641,0.00045068,0.00621192,0.0127839,-1.88081e-12,-7.88148e-13,6.20986e-12,6.53613e-12
83,103093,-6159.13,0,103276,0.0125936,-0.00122362,-0.00409294,0.0132984,-2.41983e-11,1.26051e-12,-3.72455e-11,4.44339e-11
84,-2037.07,-13161.8,0,13318.5,-0.238671,-1.42216,7.48119,7.6189,-2.5672e-10,-1.36752e-09,1.18402e-08,1.19217e-08
85,-3089.32,-10590.8,0,11032.2,-0.368091,-1.21638,8.05944,8.15902,-3.73603e-10,-1.16875e-09,1.256e-08,1.26198e-08
86,-256.712,-10898.9,0,10901.9,-0.0299089,-1.25691,8.09586,8.1929,-4.79352e-11,-1.20363e-09,1.26121e-08,1.26695e-08
87,130540,106669,0,168579,0.00306725,0.00455543,0.00460135,0.00716466,3.51717e-12,4.98199e-12,6.79021e-12,9.12675e-12
88,-6454.95,4514.27,0,7876.87,-0.791605,0.541894,8.71212,8.76477,-7.56484e-10,4.93197e-10,1.33982e-08,1.34286e-08
89,-150000,150000,0,212132,0,0,0.0042504,0.0042504,0,0,8.15331e-12,8.15331e-12
90,117743,25834.1,0,120544,0.0108056,0.00388271,0.00766271,0.0138041,5.15496e-14,1.46956e-12,1.17559e-11,1.18475e-11
91,14769.3,-29149.5,0,32677.6,0.569237,-1.09731,1.9922,2.34456,7.06541e-10,-1.36557e-09,4.30173e-09,4.56824e-09
92,19426,-25656,0,32180.7,0.789047,-1.01623,2.09755,2.4607,9.80144e-10,-1.24421e-09,4.49516e-09,4.76605e-09
93,23650.8,-28881.8,0,37329.8,0.597939,-0.696624,1.14971,1.47128,8.14235e-10,-9.37224e-10,2.75004e-09,3.01729e-09
94,25096.5,-24024,0,34741.7,0.800415,-0.730828,1.60831,1.93944,1.04684e-09,-9.31929e-10,3.60164e-09,3.86473e-09
95,-7749.81,19830,0,21290.6,-0.620008,1.58739,5.08555,5.36349,-6.22421e-10,1.60217e-09,8.86249e-09,9.02763e-09
96,-4717.76,17787.3,0,18402.3,-0.42032,1.62115,5.99395,6.22352,-4.05997e-10,1.59733e-09,1.00203e-08,1.01549e-08
97,-7946.84,16159.1,0,18007.4,-0.735187,1.4888,6.12365,6.34477,-7.15666e-10,1.44491e-09,1.01908e-08,1.03176e-08
98,-4952.66,15221.9,0,16007.4,-0.500425,1.51924,6.71375,6.90167,-4.83187e-10,1.46577e-09,1.09209e-08,1.10294e-08
99,-19162.5,88632.2,0,90680.1,-0.00293024,0.0147291,-0.0352764,0.03834,1.13864e-11,-4.46058e-11,-1.47117e-10,1.54152e-10
100,-6177.27,-17887.2,0,18923.8,-0.548498,-1.5975,5.8071,6.04775,-5.63275e-10,-1.58515e-09,9.72243e-09,9.86689e-09
101,-57145.5,81842.1,0,99818.5,-0.00722213,0.012438,-0.00678322,0.015902,2.21798e-11,-1.92594e-11,-4.44075e-11,5.32438e-11
102,-32434.5,101501,0,106557,-0.00473746,0.0136838,-0.000585738,0.0144925,6.27791e-12,-1.07369e-11,-2.0772e-11,2.42109e-11
103,898.372,-13634.5,0,13664.1,0.100312,-1.45415,7.39061,7.53297,7.6769e-11,-1.3955e-09,1.174e-08,1.18229e-08
104,-696.491,-15931.5,0,15946.8,-0.073191,-1.59371,6.73537,6.92174,-9.4054e-11,-1.54941e-09,1.09161e-08,1.10259e-08
105,1109.31,-18657.4,0,18690.3,0.0658109,-1.68751,5.88961,6.12695,3.40571e-11,-1.66964e-09,9.8581e-09,9.99855e-09
