Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0149299,0.00779116,-0.0178681,0.0245534,3.09778e-11,-3.74014e-12,-1.0499e-10,1.09529e-10
1,-87111,52500.1,0,101708,-0.0140377,0.0108958,-0.00524517,0.018528,9.17266e-12,6.16147e-12,-4.49748e-11,4.63124e-11
2,-74638.7,45062.8,0,87187.1,-0.0154863,0.0104942,-0.0319436,0.0370182,4.63668e-11,-1.88527e-11,-1.69891e-10,1.77111e-10
3,-112988,95412.8,0,147885,-0.00568825,0.00653556,0.0044368,0.00973422,-8.03756e-12,1.22974e-11,1.06031e-11,1.81177e-11
4,122585,-150000,0,193719,0.00267399,0,0.00471094,0.00541693,5.05949e-12,0,1.31501e-11,1.40898e-11
5,-73503.3,60039,0,94907.4,-0.0123154,0.0123729,-0.0138301,0.0222718,2.50501e-11,-6.85061e-12,-8.41148e-11,8.80326e-11
6,52500.7,87111.4,0,101709,0.0088854,0.0140831,-0.00607506,0.0177254,-3.9552e-12,-1.05411e-11,-4.76377e-11,4.89501e-11
7,60041.1,73504.9,0,94910,0.010404,0.0138895,-0.0145245,0.0226301,-1.75674e-11,-1.8784e-11,-9.08835e-11,9.44525e-11
8,45064.1,74639.7,0,87188.6,0.010151,0.0159701,-0.0360558,0.0407199,-2.36194e-11,-4.48975e-11,-1.87031e-10,1.93789e-10
9,-114318,73854.6,0,136099,-0.00754255,0.00791501,0.00536616,0.0121792,-8.70989e-12,1.43474e-11,1.24943e-11,2.09241e-11
10,-93066.1,82416,0,124313,-0.00959229,0.0101552,0.00736786,0.0157932,-9.39253e-12,1.57174e-11,1.67287e-11,2.48013e-11
11,-75377.2,30343.4,0,81255.5,-0.0216372,0.00982335,-0.0554811,0.0603558,5.77474e-11,-1.58584e-11,-2.68647e-10,2.75241e-10
12,-63699.6,38111.9,0,74230.4,-0.0276928,0.0134157,-0.0861457,0.0914765,5.88408e-11,-4.2388e-11,-4.04263e-10,4.10716e-10
13,37449.2,-39392.6,0,54352.7,0.142764,-0.158055,-0.0787312,0.227072,2.01485e-10,-2.27018e-10,-3.6763e-10,4.76745e-10
14,29861.7,-40130.5,0,50021.8,0.181985,-0.249396,0.014441,0.309071,2.91885e-10,-3.98441e-10,-2.35794e-11,4.94478e-10
