Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0123001,0.00542455,0.00287349,0.0137468,-9.39852e-12,3.9998e-12,-4.87486e-12,1.13179e-11
1,-87111,52500.1,0,101708,-0.00813899,0.0048883,0.00169446,0.00964416,-7.80235e-12,5.21766e-12,-1.1182e-12,9.45256e-12
2,-74638.7,45062.8,0,87187.1,-0.0156884,0.00966958,0.00434433,0.0189341,-1.05038e-11,6.09254e-12,-9.40575e-12,1.53596e-11
3,-112988,95412.8,0,147885,-0.00141043,0.00141561,0.000193845,0.0020077,-2.68795e-12,2.93165e-12,2.35826e-12,4.62396e-12
4,122585,-150000,0,193719,0.000496036,0,0.000105708,0.000507174,1.22506e-12,0,2.10988e-12,2.43975e-12
5,-73503.3,60039,0,94907.4,-0.00968642,0.00793118,0.00261263,0.0127889,-7.72493e-12,6.52597e-12,-4.21055e-12,1.09541e-11
6,52500.7,87111.4,0,101709,0.00492302,0.00855491,0.001767,0.0100272,4.83936e-12,7.87925e-12,-1.31062e-12,9.33915e-12
7,60041.1,73504.9,0,94910,0.00782177,0.00969198,0.0028141,0.0127685,6.22815e-12,8.24958e-12,-3.96725e-12,1.10718e-11
8,45064.1,74639.7,0,87188.6,0.00996949,0.0158551,0.00382834,0.0191162,6.20215e-12,1.04833e-11,-1.04074e-11,1.60213e-11
9,-114318,73854.6,0,136099,-0.00216662,0.00183679,0.000368264,0.0028642,-3.64158e-12,3.51629e-12,2.69343e-12,5.73411e-12
10,-93066.1,82416,0,124313,-0.00305577,0.00278604,0.000886864,0.00422922,-4.67794e-12,4.58561e-12,3.32574e-12,7.34653e-12
11,-75377.2,30343.4,0,81255.5,-0.0228015,0.00938529,0.00574461,0.0253179,-1.4058e-11,5.64525e-12,-1.64121e-11,2.2335e-11
12,-63699.6,38111.9,0,74230.4,-0.0286516,0.016185,0.00836953,0.0339547,-1.71464e-11,9.00816e-12,-2.53947e-11,3.1938e-11
13,37449.2,-39392.6,0,54352.7,0.0709728,-0.0767989,0.0454726,0.114031,6.219e-11,-6.89231e-11,-3.09864e-11,9.7868e-11
