Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0169285,0.00787565,-0.00852297,0.0205242,8.18444e-12,2.93017e-12,-9.10171e-11,9.14313e-11
1,-87111,52500.1,0,101708,-0.0140458,0.00981519,-0.0016021,0.0172101,-1.1133e-11,1.77117e-11,-3.1437e-11,3.77615e-11
2,-74638.7,45062.8,0,87187.1,-0.0190012,0.0119003,-0.0163639,0.0277567,2.41703e-11,-9.01214e-12,-1.57134e-10,1.59237e-10
3,-112988,95412.8,0,147885,-0.00463777,0.00510335,0.00321268,0.00760752,-1.45654e-11,1.83396e-11,1.56676e-11,2.81774e-11
4,122585,-150000,0,193719,0.00206992,0,0.00323873,0.00384369,7.86373e-12,0,1.80301e-11,1.96704e-11
5,-73503.3,60039,0,94907.4,-0.0138406,0.0124331,-0.00644341,0.0196891,4.62244e-12,7.27117e-12,-7.10855e-11,7.16058e-11
6,52500.7,87111.4,0,101709,0.00873126,0.0142406,-0.00212059,0.0168383,8.457e-12,9.33499e-12,-3.5292e-11,3.74725e-11
7,60041.1,73504.9,0,94910,0.0113903,0.0148011,-0.00657228,0.0197991,-1.33401e-12,1.98334e-12,-7.6041e-11,7.60785e-11
8,45064.1,74639.7,0,87188.6,0.0119543,0.0193183,-0.0189167,0.0295625,-1.2463e-11,-2.2303e-11,-1.72652e-10,1.74532e-10
9,-114318,73854.6,0,136099,-0.00631765,0.00623568,0.00391068,0.00969999,-1.78341e-11,2.16e-11,1.86291e-11,3.36401e-11
10,-93066.1,82416,0,124313,-0.00818529,0.00823156,0.00544253,0.012821,-2.12e-11,2.56149e-11,2.42923e-11,4.11787e-11
11,-75377.2,30343.4,0,81255.5,-0.026282,0.0111014,-0.0300942,0.0414686,3.57652e-11,-9.59749e-12,-2.64165e-10,2.66748e-10
12,-63699.6,38111.9,0,74230.4,-0.0326464,0.0170894,-0.0474528,0.06008,4.06122e-11,-3.22514e-11,-4.07733e-10,4.11018e-10
13,37449.2,-39392.6,0,54352.7,0.122954,-0.135572,-0.0363224,0.186593,2.23697e-10,-2.55473e-10,-5.27102e-10,6.27012e-10
14,29861.7,-40130.5,0,50021.8,0.152892,-0.209538,0.0261336,0.260701,3.3052e-10,-4.54536e-10,-2.2738e-10,6.06257e-10
15,32757.3,-33495.5,0,46850.8,0.240173,-0.250129,0.120582,0.367134,5.69766e-10,-6.07558e-10,2.25709e-10,8.62962e-10
16,-5849.89,118265,0,118409,-0.000594167,0.00943694,0.00369597,0.0101523,4.54526e-13,1.38524e-11,1.33772e-11,1.92626e-11
17,88672.4,19175.4,0,90722,0.0189232,0.00359278,-0.0154883,0.024716,-1.93353e-11,-6.3136e-12,-1.36935e-10,1.38437e-10
18,84268.6,37659.3,0,92300.7,0.0162035,0.00740987,-0.00744527,0.0193104,-1.54846e-11,-7.60729e-12,-8.49546e-11,8.66886e-11
19,75656.1,22514.3,0,78935,0.0263015,0.00775007,-0.0340141,0.0436898,-5.75809e-11,-2.01219e-11,-3.01085e-10,3.07202e-10
20,38399.8,-133138,0,138565,0.00365985,-0.00454992,0.00495052,0.00765532,1.229e-11,-1.29889e-11,2.32899e-11,2.93628e-11
21,30776.7,-150000,0,153125,0.00256897,0,0.00506887,0.0056827,8.58728e-12,0,2.31156e-11,2.46591e-11
22,51914.1,-150000,0,158730,0.00381052,0,0.00542532,0.00662979,1.37591e-11,0,2.52849e-11,2.87861e-11
23,-18649.6,-25892.5,0,31909.7,-0.561177,-0.78601,1.38608,1.68936,-1.3098e-09,-1.83189e-09,5.12186e-09,5.59508e-09
24,-15531.1,-22640.6,0,27455.7,-0.662744,-0.983453,2.15462,2.45943,-1.4507e-09,-2.15922e-09,7.56995e-09,8.00443e-09
25,-133938,2013.65,0,133953,-0.0050111,0.000451021,0.00481881,0.00696674,-1.24482e-11,3.17833e-12,2.11258e-11,2.47257e-11
26,-133854,-18281.5,0,135097,-0.00475229,-0.00181094,0.00496573,0.0071079,-1.16145e-11,-4.5293e-12,2.25892e-11,2.58008e-11
27,-118265,-5849.88,0,118409,-0.00978032,-0.000747646,0.0036762,0.0104751,-1.5631e-11,-1.05593e-12,1.09599e-11,1.91197e-11
28,-9122.73,-27956.1,0,29407,-0.322975,-1.0543,1.81389,2.12275,-7.21544e-10,-2.38179e-09,6.51159e-09,6.97096e-09
29,150000,150000,0,212132,0,0,0.0017031,0.0017031,0,0,9.12951e-12,9.12951e-12
