Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0138642,0.00764863,-0.0212422,0.0264943,3.59084e-11,-5.11013e-12,-1.08447e-10,1.14352e-10
1,-87111,52500.1,0,101708,-0.0136595,0.011037,-0.00673852,0.0188097,1.41797e-11,3.14167e-12,-4.92381e-11,5.13354e-11
2,-74638.7,45062.8,0,87187.1,-0.0139496,0.0098697,-0.0373457,0.0410695,5.04281e-11,-2.04745e-11,-1.72143e-10,1.80542e-10
3,-112988,95412.8,0,147885,-0.00590798,0.00689327,0.00474815,0.0102453,-6.13506e-12,1.05635e-11,9.24457e-12,1.53196e-11
4,122585,-150000,0,193719,0.00281924,0,0.00509672,0.00582449,4.23516e-12,0,1.14779e-11,1.22343e-11
5,-73503.3,60039,0,94907.4,-0.0114427,0.0120983,-0.0165508,0.0234784,2.96662e-11,-1.01369e-11,-8.78969e-11,9.33204e-11
6,52500.7,87111.4,0,101709,0.00870504,0.0136647,-0.00764186,0.0179136,-7.0922e-12,-1.53974e-11,-5.13317e-11,5.40585e-11
7,60041.1,73504.9,0,94910,0.0097824,0.0132108,-0.0174651,0.0239844,-2.13461e-11,-2.36246e-11,-9.50349e-11,1.00227e-10
8,45064.1,74639.7,0,87188.6,0.00937066,0.0144741,-0.0420015,0.045403,-2.55447e-11,-4.93107e-11,-1.89471e-10,1.97442e-10
9,-114318,73854.6,0,136099,-0.00777235,0.00833068,0.00573018,0.0127532,-6.15911e-12,1.2253e-11,1.07195e-11,1.74063e-11
10,-93066.1,82416,0,124313,-0.0098305,0.0106023,0.00785488,0.0164544,-6.0919e-12,1.2926e-11,1.43742e-11,2.02685e-11
11,-75377.2,30343.4,0,81255.5,-0.0197572,0.00931069,-0.0639242,0.0675525,6.08679e-11,-1.65107e-11,-2.66462e-10,2.73823e-10
