Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0170321,0.00773551,-0.00573191,0.0195649,-3.16803e-12,6.46176e-12,-8.51113e-11,8.5415e-11
1,-87111,52500.1,0,101708,-0.0135704,0.00918898,-0.000672143,0.0164026,-2.01337e-11,2.25642e-11,-2.7046e-11,4.05709e-11
2,-74638.7,45062.8,0,87187.1,-0.0195966,0.0121058,-0.011496,0.0257436,1.174e-11,-3.09326e-12,-1.50384e-10,1.50873e-10
3,-112988,95412.8,0,147885,-0.00414087,0.00449219,0.00269682,0.00667828,-1.71529e-11,2.06258e-11,1.72885e-11,3.19145e-11
4,122585,-150000,0,193719,0.00180761,0,0.00265095,0.00320858,8.86924e-12,0,1.93095e-11,2.1249e-11
5,-73503.3,60039,0,94907.4,-0.0138529,0.0121125,-0.00426548,0.0188894,-5.1516e-12,1.39466e-11,-6.63678e-11,6.80127e-11
6,52500.7,87111.4,0,101709,0.00838969,0.0138239,-0.00106285,0.0162054,1.38646e-11,1.82256e-11,-3.12317e-11,3.87275e-11
7,60041.1,73504.9,0,94910,0.0113281,0.0146057,-0.0042498,0.0189661,6.27844e-12,1.16933e-11,-7.04655e-11,7.17046e-11
8,45064.1,74639.7,0,87188.6,0.0122602,0.0198576,-0.0135679,0.0269949,-5.92841e-12,-1.00886e-11,-1.65168e-10,1.65582e-10
9,-114318,73854.6,0,136099,-0.00570455,0.00551422,0.00329669,0.00859166,-2.14066e-11,2.4405e-11,2.05535e-11,3.84225e-11
10,-93066.1,82416,0,124313,-0.00745113,0.00737012,0.00464161,0.0114622,-2.58368e-11,2.94027e-11,2.673e-11,4.73978e-11
11,-75377.2,30343.4,0,81255.5,-0.0272216,0.0113438,-0.0218454,0.0367004,2.15532e-11,-5.0075e-12,-2.57226e-10,2.58176e-10
12,-63699.6,38111.9,0,74230.4,-0.0337386,0.0180001,-0.0346833,0.0516259,2.61164e-11,-2.40333e-11,-3.99607e-10,4.0118e-10
13,37449.2,-39392.6,0,54352.7,0.115639,-0.12721,-0.0191219,0.172975,2.43734e-10,-2.78748e-10,-5.64127e-10,6.74793e-10
