Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0167383,0.0074691,-0.00314082,0.0185963,-1.74792e-11,1.11368e-11,-7.81734e-11,8.08742e-11
1,-87111,52500.1,0,101708,-0.01279,0.0084004,0.000119792,0.0153025,-3.07087e-11,2.81125e-11,-2.26612e-11,4.74011e-11
2,-74638.7,45062.8,0,87187.1,-0.0197444,0.0120935,-0.00686857,0.024151,-4.89259e-12,5.18908e-12,-1.41534e-10,1.41713e-10
3,-112988,95412.8,0,147885,-0.00356238,0.00380841,0.0021263,0.00563166,-1.97783e-11,2.29624e-11,1.91231e-11,3.5835e-11
4,122585,-150000,0,193719,0.00151355,0,0.0020254,0.00252846,9.87033e-12,0,2.0423e-11,2.26831e-11
5,-73503.3,60039,0,94907.4,-0.0135269,0.0115607,-0.00224169,0.0179346,-1.71645e-11,2.21964e-11,-6.11916e-11,6.7318e-11
6,52500.7,87111.4,0,101709,0.00786561,0.0131037,-0.00013809,0.0152838,2.01736e-11,2.88305e-11,-2.68259e-11,4.4247e-11
7,60041.1,73504.9,0,94910,0.0110035,0.0140751,-0.00211182,0.0179901,1.55775e-11,2.35663e-11,-6.42193e-11,7.0158e-11
8,45064.1,74639.7,0,87188.6,0.0123274,0.0199581,-0.00848862,0.0249469,3.09079e-12,6.1887e-12,-1.55216e-10,1.5537e-10
9,-114318,73854.6,0,136099,-0.0049762,0.00470353,0.00262001,0.00733146,-2.51644e-11,2.7299e-11,2.25943e-11,4.34625e-11
10,-93066.1,82416,0,124313,-0.00656671,0.00638627,0.00376418,0.00990329,-3.07744e-11,3.34058e-11,2.91614e-11,5.39759e-11
11,-75377.2,30343.4,0,81255.5,-0.027632,0.0114105,-0.0138766,0.0329589,1.15572e-12,1.9594e-12,-2.45651e-10,2.45661e-10
12,-63699.6,38111.9,0,74230.4,-0.0342699,0.0185914,-0.0222742,0.0449022,3.64845e-12,-1.121e-11,-3.83607e-10,3.83788e-10
13,37449.2,-39392.6,0,54352.7,0.107504,-0.117912,-0.00101632,0.159567,2.78486e-10,-3.1781e-10,-5.80361e-10,7.17897e-10
