Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0165057,0.00791869,-0.0114903,0.0216142,1.73794e-11,1.7615e-13,-9.63388e-11,9.7894e-11
1,-87111,52500.1,0,101708,-0.0142594,0.0102981,-0.0026746,0.0177915,-3.36645e-12,1.34074e-11,-3.60263e-11,3.85874e-11
2,-74638.7,45062.8,0,87187.1,-0.0180673,0.0115369,-0.0214211,0.030305,3.36475e-11,-1.3356e-11,-1.62563e-10,1.66545e-10
3,-112988,95412.8,0,147885,-0.00505863,0.00564494,0.00367215,0.00842258,-1.22823e-11,1.62019e-11,1.37886e-11,2.45659e-11
4,122585,-150000,0,193719,0.00230091,0,0.00378042,0.00442558,6.88405e-12,0,1.64595e-11,1.78411e-11
5,-73503.3,60039,0,94907.4,-0.0135501,0.0125636,-0.00876835,0.0204532,1.27222e-11,1.71806e-12,-7.57131e-11,7.67938e-11
6,52500.7,87111.4,0,101709,0.00891471,0.0143995,-0.00331006,0.0172562,3.74722e-12,1.69818e-12,-3.95521e-11,3.97655e-11
7,60041.1,73504.9,0,94910,0.0112345,0.0147183,-0.00906668,0.0206167,-7.70997e-12,-6.16355e-12,-8.13894e-11,8.19857e-11
8,45064.1,74639.7,0,87188.6,0.0114727,0.0184435,-0.0244772,0.0327249,-1.73327e-11,-3.17805e-11,-1.78778e-10,1.82407e-10
9,-114318,73854.6,0,136099,-0.00682333,0.00687332,0.0044585,0.010662,-1.45563e-11,1.90393e-11,1.64356e-11,2.90604e-11
10,-93066.1,82416,0,124313,-0.00878009,0.00897779,0.00616348,0.0139885,-1.69504e-11,2.20678e-11,2.16998e-11,3.52871e-11
11,-75377.2,30343.4,0,81255.5,-0.0249697,0.0107425,-0.0385056,0.0471335,4.58247e-11,-1.26388e-11,-2.68008e-10,2.72191e-10
12,-63699.6,38111.9,0,74230.4,-0.031192,0.0159742,-0.0603805,0.0698135,4.99319e-11,-3.74956e-11,-4.10453e-10,4.15175e-10
13,37449.2,-39392.6,0,54352.7,0.129794,-0.143369,-0.0521419,0.2003,2.11986e-10,-2.41231e-10,-4.78868e-10,5.76581e-10
14,29861.7,-40130.5,0,50021.8,0.162999,-0.223419,0.0200762,0.277287,3.12938e-10,-4.29285e-10,-1.61971e-10,5.55383e-10
15,32757.3,-33495.5,0,46850.8,0.257571,-0.268688,0.12892,0.393899,5.37672e-10,-5.73664e-10,2.96316e-10,8.40229e-10
16,-5849.89,118265,0,118409,-0.000565642,0.00978251,0.00406109,0.0106071,1.26437e-12,8.58405e-12,1.03427e-11,1.35003e-11
17,88672.4,19175.4,0,90722,0.0181392,0.00335313,-0.0199214,0.0271502,-2.90247e-11,-8.56867e-12,-1.43168e-10,1.46331e-10
18,84268.6,37659.3,0,92300.7,0.0155529,0.0070907,-0.0102169,0.0199137,-2.44976e-11,-1.20277e-11,-9.00498e-11,9.40945e-11
19,75656.1,22514.3,0,78935,0.0242942,0.00707428,-0.0435815,0.0503945,-6.79468e-11,-2.2284e-11,-3.04338e-10,3.12626e-10
20,38399.8,-133138,0,138565,0.00401769,-0.00492107,0.00564142,0.00849615,1.05699e-11,-1.07898e-11,2.07728e-11,2.56837e-11
21,30776.7,-150000,0,153125,0.00281877,0,0.00575051,0.0064042,7.36859e-12,0,2.03762e-11,2.16676e-11
22,51914.1,-150000,0,158730,0.00421415,0,0.00617062,0.00747232,1.20098e-11,0,2.23196e-11,2.53456e-11
23,-18649.6,-25892.5,0,31909.7,-0.600461,-0.840952,1.54501,1.85871,-1.19549e-09,-1.67194e-09,4.96924e-09,5.37754e-09
24,-15531.1,-22640.6,0,27455.7,-0.706042,-1.0479,2.38766,2.70139,-1.31243e-09,-1.9534e-09,7.23955e-09,7.61245e-09
25,-133938,2013.65,0,133953,-0.00535529,0.000555557,0.00543154,0.00764784,-9.68108e-12,3.41774e-12,1.81224e-11,2.08285e-11
26,-133854,-18281.5,0,135097,-0.00507634,-0.00193153,0.00562964,0.00782258,-9.17045e-12,-3.27495e-12,1.98096e-11,2.20736e-11
27,-118265,-5849.88,0,118409,-0.010177,-0.000764669,0.00395718,0.010946,-1.01222e-11,-1.50316e-13,7.26461e-12,1.24601e-11
28,-9122.73,-27956.1,0,29407,-0.344585,-1.12551,2.01498,2.33359,-6.56972e-10,-2.16151e-09,6.26301e-09,6.658e-09
29,150000,150000,0,212132,0,0,0.00197185,0.00197185,0,0,8.03011e-12,8.03011e-12
30,129139,129210,0,182680,0.00192672,0.0018687,0.00237485,0.00358388,5.65496e-12,5.31018e-12,9.24357e-12,1.20673e-11
31,150000,122585,0,193719,0,0.00222598,0.00243257,0.00329732,0,6.45168e-12,9.75028e-12,1.16915e-11
32,-11075.8,-23798.4,0,26249.6,-0.577028,-1.19823,2.65602,2.97038,-1.07522e-09,-2.18923e-09,7.90593e-09,8.27361e-09
33,-12653.7,-19752.9,0,23458.3,-0.736751,-1.18217,3.29984,3.58179,-1.29125e-09,-2.08295e-09,9.4653e-09,9.77741e-09
34,-37648.6,84248.4,0,92278,-0.00786857,0.0163591,-0.0115164,0.0214979,9.85213e-12,-2.24237e-11,-9.46366e-11,9.77547e-11
35,-46077.5,71159.7,0,84775.2,-0.0105692,0.0179738,-0.027902,0.0348323,3.42973e-11,-4.39357e-11,-2.02848e-10,2.10366e-10
36,85334.7,131806,0,157019,0.00479231,0.00318939,0.00399991,0.00700983,1.389e-11,8.05526e-12,1.54243e-11,2.2265e-11
37,122585,150000,0,193719,0.00232616,0,0.0024956,0.0034116,6.98449e-12,0,1.01456e-11,1.23173e-11
38,103137,13089.1,0,103965,0.0142498,0.00188149,-0.00162725,0.0144653,-2.40849e-12,1.49123e-13,-2.83096e-11,2.84122e-11
39,89460.7,1522.34,0,89473.6,0.0195328,-0.00113733,-0.0202466,0.0281558,-2.8817e-11,-8.25869e-12,-1.51682e-10,1.54616e-10
40,-107397,-131396,0,169703,-0.00365228,-0.00253826,0.00330934,0.00554379,-1.05553e-11,-7.66387e-12,1.32127e-11,1.85668e-11
41,24422.7,-6210.7,0,25200,1.33301,-0.343408,2.90438,3.21407,2.3974e-09,-6.11684e-10,8.54368e-09,8.89473e-09
42,28356.8,-4153,0,28659.3,1.23039,-0.183673,2.14237,2.47736,2.3358e-09,-3.51535e-10,6.6105e-09,7.01985e-09
43,27348.7,-12816.6,0,30202.9,1.03288,-0.45596,1.83101,2.15112,2.01647e-09,-8.58472e-10,5.81173e-09,6.21122e-09
44,23794.4,-10572.6,0,26037.6,1.20111,-0.552016,2.7128,3.01772,2.17664e-09,-1.00521e-09,8.08705e-09,8.43497e-09
45,27166.4,-8455.06,0,28451.7,1.1529,-0.34543,2.19917,2.50696,2.18005e-09,-6.42651e-10,6.75588e-09,7.12794e-09
46,20852.9,-8183.22,0,22401.1,1.32174,-0.522253,3.57368,3.8459,2.28773e-09,-8.96162e-10,1.01336e-08,1.04272e-08
47,-37897,3792.98,0,38086.3,-0.751644,0.072819,0.704957,1.03307,-1.60923e-09,1.47688e-10,2.40221e-09,2.89518e-09
48,-131806,85334.7,0,157019,-0.00300383,0.0051818,0.00429052,0.00736767,-7.13657e-12,1.59081e-11,1.59799e-11,2.36507e-11
49,-132553,63590,0,147017,-0.00385931,0.00537643,0.0045865,0.0080521,-8.75362e-12,1.6366e-11,1.68515e-11,2.50688e-11
50,11611.3,30848.3,0,32961.2,0.347134,0.939039,1.3836,1.70782,6.86603e-10,1.88766e-09,4.50648e-09,4.93387e-09
51,9029.48,27841.7,0,29269.3,0.36967,1.15546,2.0457,2.37837,6.97459e-10,2.20454e-09,6.33856e-09,6.74713e-09
52,-117560,33651.4,0,122282,-0.00973814,0.00507241,0.00467622,0.0119343,-1.53474e-11,1.40842e-11,1.28124e-11,2.44554e-11
53,-102538,25280.1,0,105608,-0.0141028,0.00461598,-0.00231367,0.0150183,-1.92943e-12,5.83435e-12,-3.49725e-11,3.55083e-11
54,-101802,43965.4,0,110890,-0.0127406,0.00727976,0.00192105,0.014799,-1.15175e-11,1.40646e-11,-6.18997e-12,1.92036e-11
55,-22239.1,-133741,0,135578,-0.00245674,-0.00531655,0.00547529,0.00801749,-6.53705e-12,-1.06657e-11,1.81992e-11,2.2084e-11
56,-42645.3,-133291,0,139946,-0.00430896,-0.00472457,0.00590731,0.00870546,-1.13151e-11,-9.96673e-12,2.06193e-11,2.55445e-11
57,-30776.7,-150000,0,153125,-0.00322699,0,0.00601773,0.00682836,-9.21321e-12,0,2.13516e-11,2.32546e-11
58,-22464.5,15736.4,0,27427.9,-1.04328,0.72476,2.40795,2.72248,-1.9434e-09,1.32284e-09,7.36396e-09,7.73011e-09
59,-23594.5,11132.4,0,26088.9,-1.21549,0.564671,2.69394,3.00892,-2.21937e-09,9.89598e-10,8.06656e-09,8.42462e-09
60,-132362,-60437.4,0,145507,-0.00398068,-0.00526893,0.00500688,0.00828711,-9.767e-12,-1.48278e-11,1.81882e-11,2.54179e-11
61,-150000,-73990.2,0,167256,0,-0.00502681,0.00515303,0.00719879,0,-1.54162e-11,1.90501e-11,2.45064e-11
62,-150000,-97399.6,0,178848,0,-0.004159,0.00428336,0.0059703,0,-1.27773e-11,1.69133e-11,2.11971e-11
63,-130900,-83255.3,0,155133,-0.00301696,-0.00523054,0.00387437,0.00717435,-7.38267e-12,-1.54668e-11,1.42586e-11,2.22943e-11
64,-30850.5,11611.1,0,32963.1,-0.913147,0.344706,1.36589,1.67879,-1.84346e-09,6.76308e-10,4.49914e-09,4.90897e-09
65,-27838.8,9028.13,0,29266.1,-1.12595,0.361756,2.06651,2.38098,-2.1599e-09,6.56902e-10,6.41539e-09,6.80103e-09
66,-26908.9,13826.3,0,30253.2,-0.988357,0.52693,1.84083,2.1548,-1.92125e-09,1.00821e-09,5.85516e-09,6.24424e-09
67,-33100.8,729.915,0,33108.8,-0.984268,0.00187611,1.35961,1.67849,-1.99094e-09,-1.4622e-11,4.43253e-09,4.85915e-09
68,-28720.7,-1365.36,0,28753.2,-1.18186,-0.0524877,2.12313,2.43048,-2.24201e-09,-1.08285e-10,6.54182e-09,6.91619e-09
69,-24939.5,1761.87,0,25001.6,-1.35611,0.107507,2.92935,3.22981,-2.43305e-09,1.76504e-10,8.59262e-09,8.93219e-09
70,-24752.6,-2855.57,0,24916.8,-1.36538,-0.144988,2.95612,3.25943,-2.44773e-09,-2.82596e-10,8.63668e-09,8.98128e-09
71,111651,-96793.4,0,147767,0.00528505,-0.00597966,0.00424268,0.00903816,1.39178e-11,-1.72475e-11,1.6795e-11,2.78074e-11
72,-27947.7,-6460.51,0,28684.7,-1.17778,-0.254578,2.1052,2.42566,-2.23565e-09,-4.84145e-10,6.53439e-09,6.92321e-09
73,-11614.3,7600.37,0,13880.1,-1.07218,0.675691,5.67467,5.81447,-1.74689e-09,1.06138e-09,1.47545e-08,1.48954e-08
74,-14428.8,7085.2,0,16074.5,-1.23329,0.602105,5.14774,5.32755,-2.02179e-09,9.50976e-10,1.3608e-08,1.37902e-08
